dataset_id,dataset_type,coordinate_expression,scale_value,window_size,log_scale,source_path,status,notes
baseline_1T,baseline_frequency,1_to_10^12,1000000000000,,27.631021115928547,C:\PrimeNet_1T_Baseline_Analyzer\outputs\baseline_1T\gap_frequencies.csv,existing,Imported from existing normalized manifest
huge_10e100_w100k,local_gaps,10^100,10^100,100000.0,230.25850929940455,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222139\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e100_w250k,local_gaps,10^100,10^100,250000.0,230.25850929940455,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e100_w250k_gaps.csv,generated,Generated by v8 using sympy; gaps=250000
huge_10e100_w500k,local_gaps,10^100,10^100,500000.0,230.25850929940455,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e100_w500k_gaps.csv,generated,Generated by v8 using sympy; gaps=500000
huge_10e100_w1m,local_gaps,10^100,10^100,1000000.0,230.25850929940455,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222143\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e1000_w100k,local_gaps,10^1000,10^1000,100000.0,2302.5850929940457,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222223\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e1000_w250k,local_gaps,10^1000,10^1000,250000.0,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e1000_w500k,local_gaps,10^1000,10^1000,500000.0,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e1000_w1m,local_gaps,10^1000,10^1000,1000000.0,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w100k,local_gaps,10^150,10^150,100000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w250k,local_gaps,10^150,10^150,250000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w500k,local_gaps,10^150,10^150,500000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w1m,local_gaps,10^150,10^150,1000000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w100k,local_gaps,10^200,10^200,100000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w250k,local_gaps,10^200,10^200,250000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w500k,local_gaps,10^200,10^200,500000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w1m,local_gaps,10^200,10^200,1000000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w100k,local_gaps,10^50,10^50,100000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w250k,local_gaps,10^50,10^50,250000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w500k,local_gaps,10^50,10^50,500000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w1m,local_gaps,10^50,10^50,1000000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w100k,local_gaps,10^500,10^500,100000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w250k,local_gaps,10^500,10^500,250000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w500k,local_gaps,10^500,10^500,500000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w1m,local_gaps,10^500,10^500,1000000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w100k,local_gaps,10^75,10^75,100000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w250k,local_gaps,10^75,10^75,250000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w500k,local_gaps,10^75,10^75,500000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w1m,local_gaps,10^75,10^75,1000000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
